STAT,STAT,bottom 10%,bottom 25%,bottom 33%,50/50,top 34%,top 25%,top 10%
resolve,etiquette,2,3,3,3,4,4,4
resolve,finance,2,3,3,4,4,4,5
resolve,firearms,4,5,5,5,6,6,6
resolve,insight,3,4,5,5,6,6,7
resolve,intimidation,3,3,3,4,4,4,5
resolve,investigation,4,4,5,6,6,7,8
resolve,larceny,2,3,3,3,4,4,4
resolve,leadership,3,3,4,4,5,5,6
resolve,medicine,2,2,3,4,4,4,5
resolve,melee,2,3,3,3,4,4,5
resolve,occult,2,3,3,4,5,5,6
resolve,performance,2,3,3,4,4,4,5
resolve,persuasion,3,4,4,5,6,6,7
resolve,politics,2,3,3,4,4,5,6
resolve,science,2,3,3,4,5,5,7
resolve,stealth,2,3,3,4,4,5,6
resolve,streetwise,3,3,3,4,4,5,6
resolve,subterfuge,3,3,4,4,5,5,6
resolve,survival,2,3,3,3,4,4,6
resolve,technology,2,3,3,4,4,5,6
stamina,academics,2,2,3,3,4,4,5
stamina,animal_ken,2,2,2,2,3,3,5
stamina,athletics,2,2,2,3,4,4,5
stamina,awareness,2,3,3,4,4,4,5
stamina,brawl,2,2,2,2,4,5,6
stamina,craft,2,2,2,2,3,3,4
stamina,driving,2,2,2,3,3,4,5
stamina,etiquette,2,2,2,3,3,3,4
stamina,finance,2,2,3,3,4,4,4
stamina,firearms,4,4,4,4,5,5,7
stamina,insight,3,4,4,5,5,5,6
stamina,intimidation,2,2,2,3,3,4,5
stamina,investigation,3,4,4,5,6,6,6
stamina,larceny,2,2,2,2,3,3,4
stamina,leadership,2,3,3,4,4,5,5
stamina,medicine,2,2,2,3,3,3,4
stamina,melee,2,2,2,2,3,4,5
stamina,occult,2,3,3,3,4,4,5
stamina,performance,2,2,3,3,3,4,4
stamina,persuasion,3,4,4,4,5,5,6
stamina,politics,2,2,3,3,4,4,5
stamina,science,2,2,3,3,4,4,5
stamina,stealth,2,2,2,3,4,4,5
stamina,streetwise,2,2,3,3,4,4,5
stamina,subterfuge,2,3,3,4,4,4,5
stamina,survival,2,2,2,2,3,4,5
stamina,technology,2,2,3,3,4,4,5
strength,academics,2,2,2,3,4,4,5
strength,animal_ken,2,2,2,2,3,3,5
strength,athletics,2,2,2,3,3,4,6
strength,awareness,2,3,3,4,4,4,5
strength,brawl,2,2,2,2,3,5,6
strength,craft,2,2,2,2,3,3,3
strength,driving,2,2,3,3,3,4,4
strength,etiquette,2,2,2,3,3,3,4
strength,finance,2,2,3,3,4,4,4
strength,firearms,4,4,4,4,5,5,7
strength,insight,3,4,4,5,5,5,6
strength,intimidation,2,2,3,3,4,4,5
strength,investigation,4,4,4,5,6,6,6
strength,larceny,2,2,2,2,3,3,4
strength,leadership,2,3,3,4,4,5,5
strength,medicine,2,2,2,3,3,4,4
strength,melee,2,2,2,2,3,3,5
strength,occult,2,2,3,3,4,4,5
strength,performance,2,2,3,3,3,4,4
strength,persuasion,3,4,4,5,5,5,6
strength,politics,2,2,3,3,4,4,5
strength,science,2,2,3,3,4,4,6
strength,stealth,2,2,2,3,4,4,5
strength,streetwise,2,2,3,3,4,4,5
strength,subterfuge,2,3,3,4,4,4,5
strength,survival,2,2,2,2,3,3,5
strength,technology,2,2,2,3,4,4,5
